Departure,Nationality,Destination,Year
DIXCOVE,BRITISH,ACCRAW,1752
BOMBAY,BRITISH,DIEGO RAY,1761
DIEGO RAY,BRITISH,MAURITIUS,1761
MAURITIUS,BRITISH,MADRAS,1761
COLOMBO (SRI LANKA),BRITISH,PRINCES ISLAND (JAVA),1761
MEW BAY -JAVA,BRITISH,BOMBAY,1762
CAPE COMERIN,BRITISH,ST HELENA,1764
ST HELENA,BRITISH,ASCENSION,1764
ASCENSION,BRITISH,SPITHEAD,1764
NIEUWEDIEP,DUTCH,BATAVIA,1845
BATAVIA,DUTCH,VLISSINGEN,1853
ROTTERDAM,DUTCH,BATAVIA,1829
SOERABAYA,DUTCH,ROTTERDAM,1830
ROTTERDAM,DUTCH,BATAVIA,1832
BATAVIA,DUTCH,ROTTERDAM,1832
ROTTERDAM,DUTCH,BATAVIA,1833
PADANG,DUTCH,HELVOETSLUIS,1833
ROTTERDAM,DUTCH,BATAVIA,1834
BATAVIA,DUTCH,ROTTERDAM,1835
ROTTERDAM,DUTCH,BATAVIA,1835
BATAVIA,DUTCH,HELVOETSLUIS,1835
ROTTERDAM,DUTCH,BATAVIA,1836
BATAVIA,DUTCH,HELVOETSLUIS,1836
ROTTERDAM,DUTCH,BATAVIA,1837
BATAVIA,DUTCH,ROTTERDAM,1837
ROTTERDAM,DUTCH,BATAVIA,1838
BATAVIA,DUTCH,ROTTERDAM,1839
ROTTERDAM,DUTCH,BATAVIA,1839
BATAVIA,DUTCH,ROTTERDAM,1840
NEDERLAND,DUTCH,BATAVIA,1846
TEXEL,DUTCH,KAAP DE GOEDE HOOP VIA O. INDIE,1802
KAAP DE GOEDE HOOP VIA O. INDIE,DUTCH,BATAVIA,1803
BATAVIA,DUTCH,PORT LOUIS,1803
PORT LOUIS,DUTCH,TAFELBAAI,1804
TAFELBAAI,DUTCH,SIMONSBAAI,1804
PLYMOUTH,BRITISH,MADEIRA,1758
MADEIRA,BRITISH,HAMPTON ROAD VIRGINIA,1758
FORT WILLIAM,BRITISH,HALIFAX,1758
HALIFAX,BRITISH,PORT ROYAL, JAMAICA,1758
UK,BRITISH,DOMINICA,1763
UK,BRITISH,HALIFAX,1767
HALIFAX,BRITISH,BARBADOS,1768
BARBADOS,BRITISH,HALIFAX,1768
HALIFAX,BRITISH,ANTIGUA,1771
SPITHEAD,BRITISH,CARLISLE BAY,1796
TORTOLA,BRITISH,SPITHEAD,1798
LAGOS BAY,BRITISH,GIBRALTAR VIA ANTIGUA,1805
PLYMOUTH,BRITISH,BARBADOS,1806
